exon,intron,onek,c1,c2,c3,site
461941,228044,150529,16480,11819,6171,0
110720,65192,36725,7148,4998,577,1
164248,80205,58766,13965,8510,2978,2
79079,50560,35481,8643,5549,3895,3
115329,58860,54125,11161,7176,609,4
65351,39929,36397,12415,6367,1299,5
96268,54497,44028,16848,8033,1013,6
63215,36796,36790,10125,6316,256,7
75452,43461,27662,12663,7912,471,8
54133,32986,26647,13946,6873,149,9
74785,44468,36411,17114,8272,377,10
47880,30307,25008,13931,7768,329,11
73165,37744,33805,24380,9867,1443,12
53146,38040,24571,18363,9352,867,13
70557,44782,36583,29432,11677,987,14
58610,47647,31346,25657,11375,1095,15
62124,47995,28155,27791,12396,1977,16
60160,48005,37379,33424,11832,1130,17
65318,50081,34050,38019,11796,777,18
61308,46720,35408,46159,14337,2615,19
80197,62066,35071,46528,12765,6185,20
58182,60188,33035,50029,17051,4090,21
75869,55338,46097,63527,14900,6180,22
72169,63805,36358,67875,15596,4185,23
72755,62502,38799,77302,15045,4408,24
72240,70738,40453,98707,16168,5403,25
66508,64306,49690,118608,21475,4782,26
73823,69536,36138,141057,23865,6892,27
82324,83726,51117,172171,20819,7126,28
75607,86721,36187,251180,20775,9187,29
79610,98196,58774,323317,21917,13215,30
72492,93799,51620,396672,28553,16172,31
88166,113668,66271,573062,35653,21118,32
89303,142289,69255,846084,47892,26239,33
121944,163807,84930,1329363,71293,35929,34
116929,220776,78487,2098968,92626,66362,35
130660,252099,113950,3692617,108270,84429,36
143928,354372,122292,6992663,173599,142073,37
204209,532493,182426,14143090,363486,172223,38
261977,897950,239192,30033425,701534,296178,39
454687,1963059,386650,52994633,1125295,690570,40
