id,high,med,low
JRA1,1426880926,356112827,81194552
JRA2,1428966253,330563948,73592577
JRA3,1319285568,309888888,71209771
JRB1,1399630667,391883371,79094506
JRB2,1061111580,459735612,69394004
JRB3,1506789726,293502193,74727970
JRC1,1534460287,266275665,76771008
JRC2,1494781924,304958409,78450315
JRC3,1516798759,285669921,74062920
JRD1,1182192917,294624092,64138102
JRD2,1433895912,356966493,81195901
JRD3,1200274093,350880078,72422038
JRE1,1524204691,274955501,76171695
JRE2,1577912902,227149116,73369430
JRF1,1428657833,363545771,76961714
JRF2,1479462620,291359190,71695975
JRG1,1466612391,330339672,76587149
JRG2,1433310405,176875090,62761417
JRH1,1383566927,404049139,79388352
JRH2,1452698897,236512344,63131625
