"","tracking_id","Gene_Set","m","sd"
"69","GRMZM2G024993","filtered_set",381.180267308565,1481.53338789526
"71","GRMZM2G073155","filtered_set",305.186150023348,1443.67454492019
"73","GRMZM2G010868","filtered_set",356.270831836174,1374.84964163581
"74","AC216353.2_FG005","filtered_set",728.512197802913,1297.38256862572
"76","GRMZM2G114552","filtered_set",382.04565231,1349.60683261254
"77","GRMZM2G306345","filtered_set",509.226315116522,1370.96876955232
"78","GRMZM2G133129","filtered_set",281.805755174087,1333.90181003635
"79","GRMZM2G047055","filtered_set",506.040953043478,1305.7776508053
"80","GRMZM2G109842","filtered_set",281.444081960391,1326.65856083522
"81","GRMZM2G064302","filtered_set",819.4398261,1322.7874447608
"83","GRMZM2G391286","filtered_set",673.708636291304,1658.77968029483
"85","GRMZM2G082517","filtered_set",277.575849450565,1307.54086608681
"89","GRMZM2G043336","filtered_set",408.513661110217,1305.21244714327
"90","GRMZM2G174807","filtered_set",1068.08585626491,1694.71901560121
"91","GRMZM2G073275","filtered_set",1763.02494494217,1510.32550641027
"94","AC187262.4_FG007","filtered_set",970.703189146217,1468.53408888456
"95","GRMZM2G011523","filtered_set",928.141260723044,1388.24838523727
"96","GRMZM2G120563","filtered_set",294.96245868087,1244.94215388458
"97","GRMZM2G126397","filtered_set",759.28462742887,1442.28351096258
"99","GRMZM2G088371","filtered_set",262.096744492609,1240.95582556012
"102","GRMZM2G071630","filtered_set",658.2543436,1201.60720108574
"104","GRMZM2G041448","filtered_set",257.491658623,1215.84465660166
"105","GRMZM5G882806","filtered_set",1762.47305793913,1979.34586148366
"107","GRMZM2G419209","filtered_set",257.185168695652,1207.97515845272
"108","GRMZM2G165901","filtered_set",2252.87951455522,1783.53177438032
"109","GRMZM2G005633","filtered_set",513.324146845304,1416.15100252352
"110","GRMZM2G479684","filtered_set",1577.68606003043,1518.9962048044
"111","GRMZM2G070167","filtered_set",264.810140450565,1159.60387933225
"112","GRMZM2G074361","filtered_set",245.971231990087,1157.77122931121
"113","GRMZM2G125356","filtered_set",239.301244449,1128.19175904448
"114","GRMZM2G046284","filtered_set",253.382186700348,1121.03330259446
"115","GRMZM2G153268","filtered_set",234.442455097087,1107.90807601701
"117","GRMZM2G164229","filtered_set",568.669295841956,1437.07020958697
"119","GRMZM2G122230","filtered_set",230.960954386913,1086.94544687296
"120","GRMZM2G026703","filtered_set",238.193200359261,1084.18133134248
"121","GRMZM2G333980","filtered_set",304.917923488391,1055.37584468946
"123","GRMZM2G137864","filtered_set",584.595523217826,1098.21202644754
"126","GRMZM2G319875","filtered_set",224.03657181887,1040.74883649681
"130","GRMZM2G006585","filtered_set",209.499201305826,1002.63082367589
"131","GRMZM2G047699","filtered_set",212.425387604478,998.248037545685
"132","GRMZM2G078804","filtered_set",210.70779375813,992.766601081574
"133","GRMZM2G153292","filtered_set",1151.17299423043,1045.53360231123
"134","GRMZM2G332838","filtered_set",1322.76429823217,1062.03158874715
"135","GRMZM2G166044","filtered_set",208.753961471,982.487189354777
"136","GRMZM2G447785","filtered_set",234.436335015696,976.845667096316
"137","AC215260.3_FG001","filtered_set",367.051151000522,990.148037409976
"138","GRMZM2G130173","filtered_set",429.70864508387,977.535970341278
"141","GRMZM2G146308","filtered_set",198.900834199913,947.17403197508
"144","GRMZM2G168552","filtered_set",198.456419681478,935.626884802559
"145","GRMZM2G152466","filtered_set",1767.66092030739,1298.9527079933
"146","GRMZM2G172664","filtered_set",195.398726975435,922.825426691733
"147","GRMZM2G138727","filtered_set",298.117289587174,1019.39725791952
"148","GRMZM2G075042","filtered_set",204.821018394,895.572470080749
"149","GRMZM2G148374","filtered_set",187.807788579391,887.476692093569
"150","GRMZM2G146551","filtered_set",186.701983536087,878.346083647888
"151","GRMZM5G873455","filtered_set",1322.44975078261,1134.46824816719
"152","GRMZM2G152328","filtered_set",265.763706511174,855.855448287813
"157","GRMZM2G016232","filtered_set",1382.85550262522,1119.56186094024
"158","GRMZM2G431856","filtered_set",180.698451289913,845.137421955992
"159","GRMZM2G326111","filtered_set",1678.40696811739,1229.85090828682
"160","AC233959.1_FG006","filtered_set",177.260200809957,831.444308246158
"161","GRMZM2G025833","filtered_set",177.298152272304,827.67457447323
"162","GRMZM2G024887","filtered_set",174.828386457957,826.585694131368
"164","GRMZM2G175562","filtered_set",268.571570792826,840.721203813736
"165","AC190623.3_FG001","filtered_set",217.363903246391,821.786574603294
"169","GRMZM2G084195","filtered_set",1440.80680576652,1148.64614379461
"170","GRMZM2G160268","filtered_set",190.040807401652,801.560226347937
"171","GRMZM2G410134","filtered_set",262.961880730304,853.403280600511
"173","GRMZM2G122357","filtered_set",192.911794573913,788.599627037754
"175","GRMZM2G477325","filtered_set",657.916353017087,1010.24053511332
"177","GRMZM2G012397","filtered_set",195.846144443435,774.530765748967
"178","GRMZM2G037255","filtered_set",373.667739360957,871.845654909832
"180","GRMZM2G108474","filtered_set",1343.1059739187,872.475169978991
"181","GRMZM2G066049","filtered_set",349.419167226043,818.457642128622
"182","GRMZM2G480954","filtered_set",230.716785169609,765.803278947902
"183","GRMZM2G106980","filtered_set",294.304282422435,830.143833070054
"184","GRMZM2G153368","filtered_set",158.815751376783,746.553733884635
"185","GRMZM2G004927","filtered_set",158.351375780957,746.632339494637
"186","GRMZM2G146573","filtered_set",158.651719616087,738.897146824311
"187","GRMZM2G144387","filtered_set",1728.61485361304,883.700375951197
"188","GRMZM2G402936","filtered_set",280.284966811174,767.230580985387
"191","GRMZM2G096695","filtered_set",273.192337696087,695.777527269226
"193","GRMZM2G074097","filtered_set",333.52401177087,700.908677948414
"194","GRMZM2G012806","filtered_set",294.330742933348,955.628977070104
"196","GRMZM2G099454","filtered_set",210.351992594174,730.077929306407
"198","GRMZM2G027782","filtered_set",149.08371100887,703.779935522081
"199","AC206941.2_FG002","filtered_set",233.263896172304,746.861368787763
"200","GRMZM2G135570","filtered_set",148.465140029174,700.226026277467
"201","AC189771.3_FG001","filtered_set",149.525476116435,699.843170479377
"203","GRMZM2G155216","filtered_set",232.881627478304,726.044090117829
"205","EF517601.1_FG016","filtered_set",650.873417898478,1003.20252927358
"206","GRMZM2G160739","filtered_set",224.529520449391,767.860888455176
"207","GRMZM2G309944","filtered_set",144.825599391435,686.917843170552
"208","GRMZM2G106899","filtered_set",147.148854675391,685.641182305394
"209","GRMZM5G841015","filtered_set",144.984890065391,685.060392284441
"210","GRMZM2G099496","filtered_set",515.08573938987,1019.72048053544
"211","GRMZM2G056908","filtered_set",248.728492643478,713.812503186683
"213","GRMZM2G092311","filtered_set",179.240562974174,664.959007123655
"216","GRMZM2G309479","filtered_set",140.427425804304,657.327180481533
"217","GRMZM2G057823","filtered_set",929.33076086087,988.98496031907
"218","GRMZM2G303374","filtered_set",1123.45517852317,863.651508644175
"220","AC234161.1_FG002","filtered_set",281.461950238957,728.205803007773
"222","GRMZM2G085967","filtered_set",468.079044738739,950.402441409519
"223","GRMZM2G149178","filtered_set",1231.07325710417,1005.35365410701
"224","GRMZM2G152908","filtered_set",565.590151662043,713.441747760535
"225","GRMZM2G538064","filtered_set",133.596757066522,629.91251841218
"226","GRMZM2G072886","filtered_set",133.915540602913,629.837922188043
"227","GRMZM2G133113","filtered_set",132.398378941783,624.508219408407
"228","GRMZM2G025175","filtered_set",132.695714166739,624.29693874937
"229","GRMZM2G122816","filtered_set",132.889189541957,621.668236251092
"230","GRMZM2G056369","filtered_set",149.928893646565,619.892373485419
"232","GRMZM2G012928","filtered_set",257.435572405826,850.020093927158
"233","GRMZM2G070961","filtered_set",131.916077343435,616.814884012918
"234","GRMZM2G154397","filtered_set",911.830311626087,563.910237924589
"235","GRMZM2G064096","filtered_set",157.142496615652,614.545704529115
"242","GRMZM2G137037","filtered_set",127.557493333348,598.852783364038
"243","GRMZM2G161512","filtered_set",126.635453176652,597.540495607646
"245","GRMZM2G019328","filtered_set",132.702144364043,593.311885206065
"247","GRMZM2G156857","filtered_set",126.768837292826,593.181227076726
"248","GRMZM2G050875","filtered_set",523.734539930478,846.155791027576
"249","GRMZM2G429899","filtered_set",172.233077111609,609.844466612756
"250","GRMZM2G072855","filtered_set",1139.85988347683,816.777539083858
"253","GRMZM2G390896","filtered_set",125.704948588217,585.040981351766
"254","GRMZM5G854138","filtered_set",470.127493798304,815.736563267991
"255","GRMZM2G323418","filtered_set",122.407379674087,577.253877978521
"256","GRMZM2G116273","filtered_set",827.513659014348,704.467922499613
"257","GRMZM2G015295","filtered_set",796.95928408,784.204880602892
"259","GRMZM2G078441","filtered_set",173.956627234739,585.733316820509
"260","GRMZM2G066460","filtered_set",677.543641882609,657.09775086093
"261","GRMZM5G834758","filtered_set",1403.68323913609,887.336575926994
"262","GRMZM2G047732","filtered_set",810.944298385522,663.117227153566
"263","GRMZM2G392863","filtered_set",380.926193172435,705.77751472439
"264","GRMZM2G406026","filtered_set",120.427720855304,567.529538985616
"265","GRMZM2G153541","filtered_set",1130.28017826391,755.030958501653
"269","GRMZM2G077333","filtered_set",131.838548781304,561.985031354626
"271","GRMZM2G167549","filtered_set",398.863904597087,610.486795348211
"272","GRMZM2G054916","filtered_set",156.075081218739,565.352768693458
"273","GRMZM2G162276","filtered_set",283.683535299913,665.697492233358
"274","GRMZM2G031545","filtered_set",1419.29726091304,668.863493806683
"275","GRMZM2G442008","filtered_set",117.751385500043,553.983179950677
"276","GRMZM5G850966","filtered_set",723.109602881174,577.797227457613
"277","GRMZM2G050730","filtered_set",421.781132839174,632.258754437562
"278","GRMZM2G421279","filtered_set",1111.65042051,877.535691197681
"280","GRMZM2G002630","filtered_set",193.93504242613,648.184343611691
"281","GRMZM2G181153","filtered_set",1017.54920436261,804.480650530734
"282","GRMZM2G307404","filtered_set",115.796682419,548.160050431436
"285","GRMZM2G082799","filtered_set",113.013984115957,541.311415320372
"287","GRMZM2G066546","filtered_set",112.308203,538.020903047789
"288","GRMZM2G157443","filtered_set",729.980600771,617.545988237048
"289","GRMZM2G350662","filtered_set",114.115694017522,531.929274213904
"290","GRMZM2G003762","filtered_set",449.42481255987,627.686418057375
"294","GRMZM2G020940","filtered_set",615.084361144913,583.95667630258
"295","GRMZM2G401308","filtered_set",832.062432362478,719.42875422962
"297","AC217374.3_FG001","filtered_set",110.741903884217,524.238058088049
"298","GRMZM2G140101","filtered_set",182.316741475217,533.024180763557
"299","AC206425.3_FG002","filtered_set",246.765432754739,642.691189857475
"301","GRMZM2G354604","filtered_set",947.805971969565,538.717817546249
"302","GRMZM2G112377","filtered_set",114.75406345213,516.55294606576
"303","GRMZM2G016066","filtered_set",138.626758486826,514.83990706594
"304","GRMZM2G071450","filtered_set",173.38813645513,513.038769692477
"305","GRMZM2G026015","filtered_set",118.587666198826,511.695727659334
"307","GRMZM2G112238","filtered_set",221.230162274087,628.530117672344
"308","GRMZM2G162461","filtered_set",112.286272520391,508.094523843494
"311","GRMZM2G351977","filtered_set",126.622092678435,503.434798781706
"312","GRMZM5G834952","filtered_set",106.491345045,504.322972261198
"313","GRMZM5G863656","filtered_set",1164.08855455361,554.908383636308
"314","GRMZM2G450125","filtered_set",130.38521755187,499.02860112786
"316","GRMZM2G439422","filtered_set",106.225573984087,499.949335059063
"317","GRMZM2G139695","filtered_set",107.162957781304,499.098158879358
"318","GRMZM2G027451","filtered_set",770.123518472478,573.744351032731
"321","GRMZM2G567452","filtered_set",294.43086364187,485.775738363858
"322","GRMZM2G162748","filtered_set",112.439276376478,488.183224889192
"323","AC209208.3_FG002","filtered_set",649.351596958087,742.985235064221
"324","GRMZM2G010884","filtered_set",141.751438132348,491.600953189427
"325","GRMZM2G103771","filtered_set",178.440397963826,506.199433311052
"326","GRMZM2G158593","filtered_set",101.965437340435,483.035098807232
"327","GRMZM2G045387","filtered_set",155.415612363826,535.755329966925
"328","GRMZM2G026930","filtered_set",115.204254557957,479.829846245998
"329","GRMZM2G108285","filtered_set",382.795205798696,467.423208719749
"330","GRMZM2G032315","filtered_set",796.856010175217,561.083555450193
"331","GRMZM2G108348","filtered_set",1069.75493475361,577.638420939847
"333","GRMZM2G327357","filtered_set",101.863753894174,475.10909327433
"335","GRMZM2G700208","filtered_set",106.340123372261,472.076613263357
"337","GRMZM2G171181","filtered_set",685.69928016087,528.414863410215
"338","AF546188.1_FG002","filtered_set",137.081021349217,489.054030684009
"339","GRMZM2G351469","filtered_set",120.923814669565,469.139930400544
"340","GRMZM5G871013","filtered_set",99.8159129130435,467.267764412515
"342","GRMZM2G063536","filtered_set",160.647373359391,542.110684496431
"343","GRMZM2G474555","filtered_set",229.605578741565,484.059813301399
"345","GRMZM2G023020","filtered_set",119.384109289261,456.522692864694
"346","GRMZM5G837108","filtered_set",767.885744946522,574.320446412854
"347","GRMZM2G139431","filtered_set",97.3810530146087,460.328002294142
"348","GRMZM2G054123","filtered_set",403.351382164913,461.497242081836
"350","AC196489.3_FG002","filtered_set",616.951819150739,472.027801617921
"352","GRMZM2G123896","filtered_set",489.276321176826,584.792207101989
"353","GRMZM2G077851","filtered_set",530.398088101435,517.573798022896
"354","GRMZM2G469380","filtered_set",399.975123927522,463.966458678401
"355","GRMZM2G156673","filtered_set",737.79170853187,497.50071016792
"356","GRMZM2G077208","filtered_set",742.64066466813,521.833219277031
"359","GRMZM2G442658","filtered_set",437.101011548261,613.095089675686
"360","GRMZM2G373522","filtered_set",299.363767466826,436.550080951472
"361","AC216067.3_FG002","filtered_set",637.918293344913,470.230983331738
"363","GRMZM2G088511","filtered_set",1032.58948454057,539.012358533117
"364","GRMZM2G073150","filtered_set",592.625118243478,479.898752913698
"365","GRMZM2G072383","filtered_set",92.7574925506957,442.604711420362
"366","GRMZM2G089288","filtered_set",93.3022822885652,441.200653940416
