,tracking_id,Syntany,m,sd
1490,GRMZM2G011364,Syntenic,96.1960535,89.92658692
1491,GRMZM2G011373,Syntenic,3.436213447,14.11061528
1492,GRMZM2G011383,Syntenic,17.77430763,102.1056237
1493,GRMZM2G011404,Syntenic,12.25374789,12.53124512
1494,GRMZM2G011436,Syntenic,7.815530255,30.4011922
1495,GRMZM2G011456,Syntenic,314.6543388,256.4112262
1496,GRMZM2G011469,Non-Syntenic,6.551975705,19.65249992
1497,GRMZM2G011479,Syntenic,0.683550344,3.926697773
1498,GRMZM2G011483,Syntenic,9.992294616,16.99077492
1499,GRMZM2G011491,Syntenic,506.1109096,328.4196121
1500,GRMZM2G011513,Syntenic,820.9455562,1403.473805
1501,GRMZM2G011518,Syntenic,52.08107013,70.10610775
1502,GRMZM2G011520,Syntenic,76.00977879,128.2168582
1503,GRMZM2G011523,Syntenic,109.3065583,311.0679991
1504,GRMZM2G011553,Syntenic,1.408521079,5.372404404
1505,GRMZM2G011559,Syntenic,91.20769742,252.7319186
1506,GRMZM2G011575,Syntenic,6.457836067,11.4704372
1507,GRMZM2G011588,Syntenic,3.794534588,14.42019678
1508,GRMZM2G011590,Syntenic,4.421249388,10.94957731
1509,GRMZM2G011592,Syntenic,12.21822775,25.75596345
1510,GRMZM2G011608,Syntenic,2.371877625,3.653004577
1511,GRMZM2G011615,Non-Syntenic,59.61332787,91.33599218
1512,GRMZM2G011624,Syntenic,51.65976713,80.79609718
1513,GRMZM2G011626,Syntenic,1.596545539,6.489234695
1514,GRMZM2G011631,Syntenic,46.03166546,68.51703618
1515,GRMZM2G011636,Syntenic,295.1452405,189.2243166
1516,GRMZM2G011662,Syntenic,59.90754756,132.4644519
1517,GRMZM2G011667,Syntenic,7.782075179,44.70461838
1518,GRMZM2G011731,Syntenic,1.036373901,3.355030439
1519,GRMZM2G011742,Syntenic,7.287256566,9.856035296
1520,GRMZM2G011746,Syntenic,1.644577211,4.853683027
1521,GRMZM2G011777,Syntenic,20.56788114,42.17233892
1522,GRMZM2G011784,Syntenic,3.464836139,19.43358022
1523,GRMZM2G011789,Syntenic,3.020160821,15.56228089
1524,GRMZM2G011806,NA,1.00932048,3.279794424
1525,GRMZM2G011858,Syntenic,283.7711567,176.9299506
1526,GRMZM2G011888,Syntenic,0.699613205,3.683116271
1527,GRMZM2G011893,Syntenic,2.449857653,5.821885509
1528,GRMZM2G011912,Syntenic,23.10317533,42.26407723
1529,GRMZM2G011915,Syntenic,11.31488304,19.9641562
1530,GRMZM2G011951,Syntenic,441.4845177,1578.003427
1531,GRMZM2G011980,Syntenic,2.222794129,3.449719652
1532,GRMZM2G011998,Syntenic,19.68791188,21.02669429
1533,GRMZM2G012030,Syntenic,16.6608751,17.26129156
1534,GRMZM2G012031,Syntenic,46.80602814,49.33916154
1535,GRMZM2G012041,Syntenic,0.606444084,2.134396525
1536,GRMZM2G012046,Syntenic,0.663472803,2.235592827
1537,GRMZM2G012052,Syntenic,378.384572,388.3552327
1538,GRMZM2G012071,Non-Syntenic,0.145900174,0.838132687
1539,GRMZM2G012088,Syntenic,2.853788937,7.300773488
1540,GRMZM2G012102,Syntenic,32.44194632,114.5977015
1541,GRMZM2G012119,Syntenic,299.0478393,1213.92805
1542,GRMZM2G012123,Syntenic,213.4887675,225.1906057
1543,GRMZM2G012126,Syntenic,234.1539628,331.2479883
1544,GRMZM2G012143,Syntenic,6.299505694,13.05490449
1545,GRMZM2G012156,Syntenic,1.521375138,3.114824935
1546,GRMZM2G012160,Syntenic,1088.71108,1227.646162
1547,GRMZM2G012176,Syntenic,7.137465967,25.97317393
1548,GRMZM2G012178,Syntenic,344.7728128,250.4880529
1549,GRMZM2G012209,Non-Syntenic,196.0225731,172.1931501
1550,GRMZM2G012216,Syntenic,1.900193425,5.045014345
