outRD,comet_file,length,feature,TE,geneset_file,cutoff,gset,mu,nu,s,nes
largedata/lcache/SFS_comet_blocks_CHG_row43.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,0.441839427802609,below,1.91458728659172e-06,1.50529776584324e-06,3.47907583624053e-10,5.2186137543608e-05
largedata/lcache/SFS_comet_blocks_CHG_row44.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,0.441839427802609,above,1.44498921951706e-06,1.50605547764134e-06,5.38141451919636e-07,0.0807212177879454
largedata/lcache/SFS_comet_blocks_CHG_row45.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,0.273549839491401,below,1.98329216353182e-06,1.47986213271626e-06,4.81910882043877e-10,7.22866323065815e-05
largedata/lcache/SFS_comet_blocks_CHG_row46.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,0.273549839491401,above,1.5510110416563e-06,1.53719581336769e-06,1.31160942738121e-09,0.000196741414107181
largedata/lcache/SFS_comet_blocks_CHG_row47.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,0.115535008080175,below,2.1078430400719e-06,1.42934519773798e-06,8.22532311947821e-10,0.000123379846792173
largedata/lcache/SFS_comet_blocks_CHG_row48.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,0.115535008080175,above,1.63903635256965e-06,1.52829789156989e-06,5.63353642567137e-10,8.45030463850706e-05
largedata/lcache/SFS_comet_blocks_CHG_row49.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,-0.0555405793510033,below,2.11894263977008e-06,1.3791152299605e-06,1.25109165422736e-09,0.000187663748134103
largedata/lcache/SFS_comet_blocks_CHG_row50.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,-0.0555405793510033,above,1.68197646283778e-06,1.51852704236192e-06,4.18811647446486e-10,6.28217471169729e-05
largedata/lcache/SFS_comet_blocks_CHG_row51.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,0.603341359144955,below,1.83344960291733e-06,1.51417818082865e-06,3.24856208163276e-10,4.87284312244914e-05
largedata/lcache/SFS_comet_blocks_CHG_row52.RData,largedata/lcache/SFS_comet_blocks_CHG.csv,0,gene,no,largedata/exon_consistency.csv,0.603341359144955,above,1.43657098082086e-06,1.34073501111539e-06,2.13460983432764e-06,0.320191475149146
