Var1,Freq
1,216376
2,153361
3,95623
4,61130
5,42051
6,30783
7,23246
8,18379
9,14984
10,12406
11,10486
12,9184
13,7520
14,6577
15,5632
16,5307
17,4884
18,4761
19,5093
20,4406
21,2816
22,2501
23,2282
24,1864
25,1816
26,1988
27,1725
28,1633
29,1588
30,1473
31,1518
32,1640
33,1593
34,1580
35,1642
36,1540
37,1613
38,1934
39,1867
40,2977
