"","id","mu","nu","s","feature","nes","context","q"
"1","CG_exon_0_above",1.73288432374283e-06,1.78054097866927e-06,1.29955228235099e-10,"exon",1.94932842352648e-05,"CG","above"
"2","CG_exon_0_below",1.49017704571415e-06,1.69618228983151e-06,1.59889242165839e-10,"exon",2.39833863248759e-05,"CG","below"
"3","CG_gene_0_above",1.59804696137933e-06,1.94916406558737e-06,4.07002667291821e-10,"gene",6.10504000937732e-05,"CG","above"
"4","CG_gene_0_below",1.40355608718373e-06,1.87662123106751e-06,5.34952249352727e-10,"gene",8.02428374029091e-05,"CG","below"
"5","CG_intron_0_above",1.39758461623268e-06,2.03710014794197e-06,-7.10360432668946e-10,"intron",-0.000106554064900342,"CG","above"
"6","CG_intron_0_below",1.55176885025509e-06,1.24053977162092e-06,3.64308188413583e-06,"intron",0.546462282620375,"CG","below"
"7","CG_up1k_0_above",1.52689358004265e-06,1.91498049039287e-06,2.75263134157085e-10,"up1k",4.12894701235628e-05,"CG","above"
"8","CG_up1k_0_below",1.39479157265335e-06,1.95632863190494e-06,9.96506537514244e-10,"up1k",0.000149475980627137,"CG","below"
"9","CHG_exon_0_above",2.62627820536785e-06,1.41516521971829e-06,6.76046837189065e-11,"exon",1.0140702557836e-05,"CHG","above"
"10","CHG_exon_0_below",1.60696111025708e-06,1.35938090794547e-06,9.61767241003227e-11,"exon",1.44265086150484e-05,"CHG","below"
"11","CHG_gene_0_above",1.95174022883934e-06,1.4984631081536e-06,5.18801347190389e-11,"gene",7.78202020785583e-06,"CHG","above"
"12","CHG_gene_0_below",1.44172990862394e-06,1.56856838044602e-06,1.55648779862934e-10,"gene",2.33473169794401e-05,"CHG","below"
"13","CHG_intron_0_above",1.73660201204204e-06,1.42918248521323e-06,7.75150614551218e-11,"intron",1.16272592182683e-05,"CHG","above"
"14","CHG_intron_0_below",1.23778070659846e-06,1.58572889382565e-06,3.9502062087246e-09,"intron",0.00059253093130869,"CHG","below"
"15","CHG_up1k_0_above",1.57945625548326e-06,1.52606932296506e-06,2.02290740307611e-10,"up1k",3.03436110461416e-05,"CHG","above"
"16","CHG_up1k_0_below",1.43085885802395e-06,1.68600714253938e-06,8.00947794567492e-10,"up1k",0.000120142169185124,"CHG","below"
