"","id","mu","nu","s","feature","nes","context","q"
"44","CHG_exon_1_ngbm",3.94048761855297e-06,2.62796408365178e-06,1.42275425671394e-10,"exon",2.13413138507091e-05,"CHG","qngbm"
"45","CHG_exon_2_gbm",1.70602542350119e-06,3.85617965819007e-06,8.38690260689433e-10,"exon",0.000125803539103415,"CHG","qgbm"
"46","CHG_exon_2_ngbm",3.84780183571461e-06,2.47919978256201e-06,1.23514901715061e-10,"exon",1.85272352572592e-05,"CHG","qngbm"
"47","CHG_exon_3_gbm",1.40209249465122e-06,3.91916609012138e-06,1.16371316631855e-09,"exon",0.000174556974947782,"CHG","qgbm"
"48","CHG_exon_3_ngbm",3.49503203938569e-06,1.88903797093569e-06,1.35045654654884e-10,"exon",2.02568481982326e-05,"CHG","qngbm"
"49","CHG_exon_4_gbm",8.89814661726738e-07,4.77983564995596e-07,6.42882325911161e-06,"exon",0.964323488866741,"CHG","qgbm"
"50","CHG_exon_4_ngbm",1.47835525676767e-06,6.53297153663445e-07,9.06246357896032e-11,"exon",1.35936953684405e-05,"CHG","qngbm"
"51","CHG_gene_0_gbm",1.86025342668753e-06,8.97867725119075e-07,8.82776198680675e-06,"gene",1.32416429802101,"CHG","qgbm"
"52","CHG_gene_1_gbm",1.97740961282294e-06,4.50977157462222e-06,8.19043006951191e-10,"gene",0.000122856451042679,"CHG","qgbm"
"53","CHG_gene_1_ngbm",2.85498790179571e-06,2.52735367063388e-06,1.03336280582339e-10,"gene",1.55004420873509e-05,"CHG","qngbm"
"54","CHG_gene_2_gbm",1.74556226162398e-06,4.28233812319326e-06,2.76654298379209e-09,"gene",0.000414981447568813,"CHG","qgbm"
"55","CHG_gene_2_ngbm",2.71728597428653e-06,2.28451253488863e-06,8.92178732165051e-11,"gene",1.33826809824758e-05,"CHG","qngbm"
"56","CHG_gene_3_gbm",1.42079453857066e-06,4.37615261356528e-06,3.62949170850166e-09,"gene",0.000544423756275249,"CHG","qgbm"
"57","CHG_gene_3_ngbm",2.03614983679224e-06,1.64062704342503e-06,1.06123947551782e-10,"gene",1.59185921327673e-05,"CHG","qngbm"
"58","CHG_gene_4_gbm",9.74727893390463e-07,4.19029584307181e-07,7.60529840092227e-06,"gene",1.14079476013834,"CHG","qgbm"
"59","CHG_gene_4_ngbm",1.00212592902137e-06,6.54613184305461e-07,8.53370833640268e-11,"gene",1.2800562504604e-05,"CHG","qngbm"
"60","CHG_intron_0_gbm",1.71609580182298e-06,8.32660050860486e-07,8.63912978509309e-06,"intron",1.29586946776396,"CHG","qgbm"
"61","CHG_intron_1_gbm",2.01388508266183e-06,4.22044930662979e-06,8.18614704320499e-10,"intron",0.000122792205648075,"CHG","qgbm"
"62","CHG_intron_1_ngbm",2.46583883863811e-06,2.72225452974333e-06,2.160538343907e-10,"intron",3.2408075158605e-05,"CHG","qngbm"
"63","CHG_intron_2_gbm",1.64706806452958e-06,4.09692216720777e-06,9.1502939523424e-10,"intron",0.000137254409285136,"CHG","qgbm"
"64","CHG_intron_2_ngbm",2.42930645822577e-06,2.35731632906555e-06,1.44016304228857e-10,"intron",2.16024456343286e-05,"CHG","qngbm"
"65","CHG_intron_3_gbm",1.32925129578942e-06,4.09991964237435e-06,3.54854743415327e-09,"intron",0.00053228211512299,"CHG","qgbm"
"66","CHG_intron_3_ngbm",1.82386053379182e-06,1.67356333585373e-06,1.46543449182611e-10,"intron",2.19815173773916e-05,"CHG","qngbm"
"67","CHG_intron_4_gbm",9.37752938965665e-07,4.44212579377621e-07,7.17312549062654e-06,"intron",1.07596882359398,"CHG","qgbm"
"68","CHG_intron_4_ngbm",9.70521532165039e-07,6.38328357796441e-07,1.07549794221626e-10,"intron",1.61324691332439e-05,"CHG","qngbm"
"69","CHG_up1k_0_gbm",1.21139048756688e-06,3.26157789244505e-06,1.01267860158632e-08,"up1k",0.00151901790237948,"CHG","qgbm"
"70","CHG_up1k_1_gbm",1.97081099101527e-06,3.70714080980402e-06,6.61091442700719e-10,"up1k",9.91637164051078e-05,"CHG","qgbm"
"71","CHG_up1k_1_ngbm",2.79094227096627e-06,2.74292062524017e-06,2.12921768083074e-10,"up1k",3.19382652124611e-05,"CHG","qngbm"
"72","CHG_up1k_2_gbm",1.74130748163224e-06,3.82558387227113e-06,7.30402178673135e-10,"up1k",0.00010956032680097,"CHG","qgbm"
"73","CHG_up1k_2_ngbm",2.29112377935414e-06,2.41131094825363e-06,2.59043751826893e-10,"up1k",3.88565627740339e-05,"CHG","qngbm"
"74","CHG_up1k_3_gbm",1.38177959855513e-06,3.82737964719615e-06,9.24817389623744e-10,"up1k",0.000138722608443562,"CHG","qgbm"
"75","CHG_up1k_3_ngbm",1.63042837603886e-06,1.74500159004681e-06,2.87415548100334e-10,"up1k",4.31123322150501e-05,"CHG","qngbm"
"76","CHG_up1k_4_gbm",5.63349987641684e-07,2.04094747423971e-06,2.45151919002602e-08,"up1k",0.00367727878503903,"CHG","qgbm"
"77","CHG_up1k_4_ngbm",6.36204827447726e-07,5.31735337179267e-07,3.09195240717624e-10,"up1k",4.63792861076436e-05,"CHG","qngbm"
