"","id","mu","nu","s","feature","nes","context","q"
"1","CG_exon_1",3.01516676299914e-06,2.82465960514111e-06,3.58029038883129e-11,"exon",5.37043558324693e-06,"CG","q1"
"2","CG_exon_2",2.39503308992128e-06,2.52454765981858e-06,3.91436621027268e-09,"exon",0.000587154931540902,"CG","q2"
"3","CG_exon_3",1.80589182785193e-06,1.69305929337534e-06,1.31939175460991e-06,"exon",0.197908763191487,"CG","q3"
"4","CG_exon_4",6.57845672411225e-07,8.87531865658701e-07,5.10426603247353e-09,"exon",0.00076563990487103,"CG","q4"
"5","CG_gene_1",2.5718440607051e-06,3.1513768631747e-06,6.86949097581074e-09,"gene",0.00103042364637161,"CG","q1"
"6","CG_gene_2",2.1323486168502e-06,2.52108454599136e-06,1.00475580370515e-06,"gene",0.150713370555772,"CG","q2"
"7","CG_gene_3",1.37142941383229e-06,1.97933705256713e-06,1.47426990463434e-09,"gene",0.000221140485695151,"CG","q3"
"8","CG_gene_4",6.87345545569939e-07,4.93210872277846e-07,2.75012121448448e-06,"gene",0.412518182172672,"CG","q4"
"9","CG_intron_1",2.26534366609302e-06,3.0635866087371e-06,2.33143772069451e-07,"intron",0.0349715658104176,"CG","q1"
"10","CG_intron_2",2.27721000809905e-06,2.30605089094582e-06,2.68775319361159e-06,"intron",0.403162979041738,"CG","q2"
"11","CG_intron_3",1.73714422684362e-06,1.44463668309583e-06,3.85352629616007e-06,"intron",0.57802894442401,"CG","q3"
"12","CG_intron_4",8.87703010124146e-07,5.36871783309325e-07,3.76281211606225e-06,"intron",0.564421817409338,"CG","q4"
"13","CHG_exon_1",3.14080461198871e-06,2.47597531056893e-06,6.57986240130173e-10,"exon",9.86979360195259e-05,"CHG","q1"
"14","CHG_exon_2",2.90568834503515e-06,2.25181626469984e-06,8.98523843915575e-10,"exon",0.000134778576587336,"CHG","q2"
"15","CHG_exon_3",2.1329568556874e-06,1.62658475501336e-06,1.48847800188177e-09,"exon",0.000223271700282265,"CHG","q3"
"16","CHG_exon_4",9.09308354858851e-07,6.26564575687389e-07,3.27424166094649e-10,"exon",4.91136249141973e-05,"CHG","q4"
"17","CHG_gene_1",2.61799659993774e-06,2.75454523063642e-06,6.08127758238254e-08,"gene",0.00912191637357381,"CHG","q1"
"18","CHG_gene_2",2.12952786011335e-06,2.48679647658908e-06,1.07679295701047e-09,"gene",0.00016151894355157,"CHG","q2"
"19","CHG_gene_3",1.52416809977208e-06,1.8264856532814e-06,3.26773631597139e-07,"gene",0.0490160447395709,"CHG","q3"
"20","CHG_gene_4",6.76552835135847e-07,4.91277573342241e-07,1.39278436567275e-06,"gene",0.208917654850912,"CHG","q4"
"21","CHG_intron_1",2.25479844193729e-06,2.75831652687423e-06,6.57454621931843e-09,"intron",0.000986181932897765,"CHG","q1"
"22","CHG_intron_2",2.13172567723386e-06,2.3576783465203e-06,1.18210243814644e-09,"intron",0.000177315365721966,"CHG","q2"
"23","CHG_intron_3",1.52400495227514e-06,1.71614571899189e-06,2.37959489655193e-09,"intron",0.000356939234482789,"CHG","q3"
"24","CHG_intron_4",7.53754252926878e-07,6.71254654440943e-07,9.84286185914223e-09,"intron",0.00147642927887133,"CHG","q4"
